database,operation,metric,value,worker_count,query_id
postgres,index,insert_time,1.512814998626709,1,
postgres,index,index_time,0.08621835708618164,1,
postgres,index,total_time,1.5990333557128906,1,
weaviate,index,insert_time,1.6705231666564941,1,
weaviate,index,index_time,0.0,1,
weaviate,index,total_time,1.6705231666564941,1,
qdrant,index,insert_time,0.5168211460113525,1,
qdrant,index,index_time,0.0,1,
qdrant,index,total_time,0.5168211460113525,1,
postgres,latency,p50_ms,3.9194822311401367,1,
postgres,latency,p95_ms,4.8267364501953125,1,
postgres,latency,p99_ms,5.805025100708032,1,
postgres,latency,mean_ms,4.010181427001953,1,
postgres,latency,std_ms,0.7958583744798345,1,
postgres,latency,min_ms,3.134012222290039,1,
postgres,latency,max_ms,10.455846786499023,1,
postgres,throughput,qps,249.36527641035153,1,
weaviate,latency,p50_ms,3.9728879928588867,1,
weaviate,latency,p95_ms,5.095410346984863,1,
weaviate,latency,p99_ms,5.293281078338624,1,
weaviate,latency,mean_ms,4.086723327636719,1,
weaviate,latency,std_ms,0.4107602762697813,1,
weaviate,latency,min_ms,3.5500526428222656,1,
weaviate,latency,max_ms,5.496978759765625,1,
weaviate,throughput,qps,244.69481289262677,1,
qdrant,latency,p50_ms,1.7036199569702148,1,
qdrant,latency,p95_ms,2.3570179939270015,1,
qdrant,latency,p99_ms,2.656672000885013,1,
qdrant,latency,mean_ms,1.7676806449890137,1,
qdrant,latency,std_ms,0.3019022810731864,1,
qdrant,latency,min_ms,1.3310909271240234,1,
qdrant,latency,max_ms,3.2913684844970703,1,
qdrant,throughput,qps,565.7130448504827,1,
postgres,latency,p50_ms,0.00095367431640625,4,
postgres,latency,p95_ms,0.0019073486328125,4,
postgres,latency,p99_ms,0.002171993255615248,4,
postgres,latency,mean_ms,0.0008821487426757812,4,
postgres,latency,std_ms,0.0006739279758979116,4,
postgres,latency,min_ms,0.0,4,
postgres,latency,max_ms,0.00476837158203125,4,
postgres,throughput,qps,1133595.6756756757,4,
weaviate,latency,p50_ms,0.00095367431640625,4,
weaviate,latency,p95_ms,0.0019192695617675775,4,
weaviate,latency,p99_ms,0.0021457672119140625,4,
weaviate,latency,mean_ms,0.0009560585021972656,4,
weaviate,latency,std_ms,0.0006166658640113944,4,
weaviate,latency,min_ms,0.0,4,
weaviate,latency,max_ms,0.0021457672119140625,4,
weaviate,throughput,qps,1045961.0972568579,4,
qdrant,latency,p50_ms,0.00095367431640625,4,
qdrant,latency,p95_ms,0.0021457672119140625,4,
qdrant,latency,p99_ms,0.0021553039550781298,4,
qdrant,latency,mean_ms,0.0009608268737792969,4,
qdrant,latency,std_ms,0.0005979079741544745,4,
qdrant,latency,min_ms,0.0,4,
qdrant,latency,max_ms,0.0030994415283203125,4,
qdrant,throughput,qps,1040770.2233250621,4,
postgres,latency,p50_ms,0.00095367431640625,8,
postgres,latency,p95_ms,0.0021457672119140625,8,
postgres,latency,p99_ms,0.0021553039550781298,8,
postgres,latency,mean_ms,0.0009703636169433594,8,
postgres,latency,std_ms,0.0006015098049000773,8,
postgres,latency,min_ms,0.0,8,
postgres,latency,max_ms,0.0030994415283203125,8,
postgres,throughput,qps,1030541.5233415234,8,
weaviate,latency,p50_ms,0.00095367431640625,8,
weaviate,latency,p95_ms,0.0021457672119140625,8,
weaviate,latency,p99_ms,0.0030994415283203125,8,
weaviate,latency,mean_ms,0.0009274482727050781,8,
weaviate,latency,std_ms,0.0007812675261301153,8,
weaviate,latency,min_ms,0.0,8,
weaviate,latency,max_ms,0.0030994415283203125,8,
weaviate,throughput,qps,1078227.2493573264,8,
qdrant,latency,p50_ms,0.00095367431640625,8,
qdrant,latency,p95_ms,0.0019073486328125,8,
qdrant,latency,p99_ms,0.0021553039550781298,8,
qdrant,latency,mean_ms,0.0009751319885253906,8,
qdrant,latency,std_ms,0.0005551570342897719,8,
qdrant,latency,min_ms,0.0,8,
qdrant,latency,max_ms,0.0030994415283203125,8,
qdrant,throughput,qps,1025502.2004889975,8,
postgres,latency,p50_ms,0.00095367431640625,16,
postgres,latency,p95_ms,0.0021457672119140625,16,
postgres,latency,p99_ms,0.002863407135009767,16,
postgres,latency,mean_ms,0.0010657310485839844,16,
postgres,latency,std_ms,0.000641035692677613,16,
postgres,latency,min_ms,0.0,16,
postgres,latency,max_ms,0.0030994415283203125,16,
postgres,throughput,qps,938323.0425055928,16,
weaviate,latency,p50_ms,0.00095367431640625,16,
weaviate,latency,p95_ms,0.0021934509277343724,16,
weaviate,latency,p99_ms,0.0031161308288574305,16,
weaviate,latency,mean_ms,0.0009489059448242188,16,
weaviate,latency,std_ms,0.0009252238381474098,16,
weaviate,latency,min_ms,0.0,16,
weaviate,latency,max_ms,0.00476837158203125,16,
weaviate,throughput,qps,1053845.2261306532,16,
postgres,quality,recall@1,1.0,1,
postgres,quality,precision@1,0.09999999999999998,1,
